#[1]xEvo [2]E [3]PT [4]PL [5]Nu [6]Nd [7]Ns [8]Tau
0.01 0.129155 0.0645775 0 0.0531736 0.0607698 0 0.00225606
0.0102531 0.130335 0.0651617 1.17772e-05 0.0531736 0.0607698 0 0.00231894
0.0105126 0.131531 0.0657536 2.36676e-05 0.0531736 0.0607698 0 0.00238335
0.0107786 0.132742 0.0663532 3.56796e-05 0.0531736 0.0607698 0 0.00244983
0.0110514 0.133969 0.0669605 4.78222e-05 0.0531736 0.0607698 0 0.00251843
0.0113311 0.135211 0.0675756 6.01045e-05 0.0531736 0.0607698 0 0.00258922
0.0116179 0.13647 0.0681987 7.25365e-05 0.0531736 0.0607698 0 0.00266229
0.0119119 0.137744 0.0688296 8.51281e-05 0.0531736 0.0607698 0 0.00273769
0.0122134 0.139035 0.0694686 9.789e-05 0.0531736 0.0607698 0 0.00281551
0.0125225 0.140342 0.0701157 0.000110833 0.0531736 0.0607698 0 0.00289582
0.0128395 0.141666 0.0707708 0.000123969 0.0531736 0.0607698 0 0.00297871
0.0131644 0.143006 0.0714342 0.00013731 0.0531736 0.0607698 0 0.00306426
0.0134976 0.144363 0.0721059 0.000150869 0.0531736 0.0607698 0 0.00315256
0.0138392 0.145736 0.0727858 0.000164657 0.0531736 0.0607698 0 0.0032437
0.0141894 0.147127 0.0734742 0.000178689 0.0531736 0.0607698 0 0.00333777
0.0145486 0.148535 0.0741711 0.000192979 0.0531736 0.0607698 0 0.00343486
0.0149168 0.149961 0.0748765 0.000207541 0.0531736 0.0607698 0 0.00353508
0.0152943 0.151403 0.0755905 0.00022239 0.0531736 0.0607698 0 0.00363853
0.0156814 0.152864 0.0763132 0.000237542 0.0531736 0.0607698 0 0.00374532
0.0160782 0.154342 0.0770447 0.000253012 0.0531736 0.0607698 0 0.00385554
0.0164852 0.155839 0.0777849 0.000268818 0.0531736 0.0607698 0 0.00396933
0.0169024 0.157353 0.0785341 0.000284977 0.0531736 0.0607698 0 0.00408679
0.0173301 0.158886 0.0792923 0.000301507 0.0531736 0.0607698 0 0.00420805
0.0177688 0.160437 0.0800595 0.000318425 0.0531736 0.0607698 0 0.00433322
0.0182185 0.162007 0.0808358 0.000335752 0.0531736 0.0607698 0 0.00446245
0.0186795 0.163596 0.0816213 0.000353508 0.0531736 0.0607698 0 0.00459586
0.0191523 0.165204 0.0824161 0.000371712 0.0531736 0.0607698 0 0.00473359
0.019637 0.166831 0.0832203 0.000390386 0.0531736 0.0607698 0 0.00487579
0.020134 0.168477 0.0840339 0.000409552 0.0531736 0.0607698 0 0.0050226
0.0206436 0.170143 0.084857 0.000429232 0.0531736 0.0607698 0 0.00517417
0.021166 0.171829 0.0856897 0.00044945 0.0531736 0.0607698 0 0.00533067
0.0217017 0.173534 0.086532 0.00047023 0.0531736 0.0607698 0 0.00549225
0.022251 0.17526 0.0873841 0.000491598 0.0531736 0.0607698 0 0.00565908
0.0228141 0.177006 0.088246 0.000513578 0.0531736 0.0607698 0 0.00583135
0.0233915 0.178772 0.0891179 0.000536198 0.0531736 0.0607698 0 0.00600922
0.0239835 0.180559 0.0899997 0.000559485 0.0531736 0.0607698 0 0.00619288
0.0245905 0.182367 0.0908915 0.000583467 0.0531736 0.0607698 0 0.00638254
0.0252129 0.184195 0.0917936 0.000608175 0.0531736 0.0607698 0 0.00657837
0.025851 0.186045 0.0927058 0.000633638 0.0531736 0.0607698 0 0.0067806
0.0265052 0.187917 0.0936284 0.000659887 0.0531736 0.0607698 0 0.00698944
0.027176 0.18981 0.0945614 0.000686956 0.0531736 0.0607698 0 0.0072051
0.0278638 0.191725 0.0955048 0.000714877 0.0531736 0.0607698 0 0.0074278
0.028569 0.193661 0.0964589 0.000743685 0.0531736 0.0607698 0 0.0076578
0.0292921 0.19562 0.0974235 0.000773416 0.0531736 0.0607698 0 0.00789532
0.0300334 0.197602 0.0983989 0.000804107 0.0531736 0.0607698 0 0.00814062
0.0307935 0.199606 0.0993851 0.000835795 0.0531736 0.0607698 0 0.00839396
