#[1]xEvo [2]T [3]Muu [4]Mud [5]Mus [6]Tau [7]E
0.01 0.16081 0.792376 0.836838 0 0.00392301 0.129155
0.0102531 0.16272 0.790117 0.834706 0 0.00400137 0.129943
0.0105126 0.164792 0.787639 0.83233 0 0.00407615 0.130748
0.0107786 0.166861 0.785135 0.829929 0 0.00415341 0.131569
0.0110514 0.168926 0.782606 0.827503 0 0.00423324 0.132407
0.0113311 0.170988 0.780053 0.825054 0 0.00431571 0.133261
0.0116179 0.173045 0.777476 0.822581 0 0.0044009 0.134131
0.0119119 0.175099 0.774876 0.820086 0 0.00448889 0.135018
0.0122134 0.177148 0.772254 0.81757 0 0.00457976 0.135923
0.0125225 0.179191 0.769611 0.815033 0 0.00467361 0.136844
0.0128395 0.18123 0.766947 0.812475 0 0.00477052 0.137782
0.0131644 0.183263 0.764263 0.809898 0 0.00487058 0.138737
0.0134976 0.18529 0.76156 0.807302 0 0.00497389 0.139709
0.0138392 0.187311 0.758839 0.804688 0 0.00508056 0.140699
0.0141894 0.189326 0.7561 0.802056 0 0.00519067 0.141706
0.0145486 0.191334 0.753344 0.799407 0 0.00530434 0.14273
0.0149168 0.193336 0.750572 0.796742 0 0.00542168 0.143772
0.0152943 0.19533 0.747785 0.794062 0 0.00554279 0.144832
0.0156814 0.197318 0.744982 0.791367 0 0.0056678 0.145909
0.0160782 0.199299 0.742166 0.788657 0 0.00579683 0.147004
0.0164852 0.201272 0.739336 0.785934 0 0.00592999 0.148117
0.0169024 0.203238 0.736493 0.783198 0 0.00606742 0.149248
0.0173301 0.205196 0.733638 0.780449 0 0.00620925 0.150397
0.0177688 0.207147 0.730772 0.777688 0 0.00635562 0.151565
0.0182185 0.20909 0.727895 0.774917 0 0.00650666 0.15275
0.0186795 0.211025 0.725008 0.772134 0 0.00666253 0.153954
0.0191523 0.212952 0.722111 0.769342 0 0.00682337 0.155177
0.019637 0.214871 0.719205 0.76654 0 0.00698934 0.156418
0.020134 0.216782 0.716291 0.763729 0 0.00716061 0.157678
0.0206436 0.218685 0.713369 0.760909 0 0.00733733 0.158957
0.021166 0.22058 0.710439 0.758081 0 0.00751969 0.160255
0.0217017 0.222467 0.707503 0.755246 0 0.00770785 0.161572
0.022251 0.224345 0.704561 0.752405 0 0.00790201 0.162908
0.0228141 0.226216 0.701614 0.749556 0 0.00810235 0.164264
0.0233915 0.228078 0.698661 0.746702 0 0.00830907 0.165639
0.0239835 0.229932 0.695704 0.743842 0 0.00852237 0.167034
0.0245905 0.231778 0.692743 0.740977 0 0.00874247 0.168448
0.0252129 0.233615 0.689778 0.738107 0 0.00896957 0.169882
0.025851 0.235445 0.68681 0.735233 0 0.0092039 0.171336
0.0265052 0.237266 0.68384 0.732356 0 0.00944571 0.17281
0.027176 0.239079 0.680867 0.729475 0 0.00969521 0.174304
0.0278638 0.240884 0.677893 0.726591 0 0.00995267 0.175819
0.028569 0.242681 0.674918 0.723705 0 0.0102183 0.177354
0.0292921 0.24447 0.671941 0.720816 0 0.0104925 0.17891
0.0300334 0.24625 0.668965 0.717926 0 0.0107754 0.180487
0.0307935 0.248023 0.665988 0.715034 0 0.0110673 0.182084
0.0315729 0.249788 0.663012 0.712141 0 0.0113685 0.183703
0.0323719 0.251545 0.660037 0.709248 0 0.0116793 0.185342
0.0331912 0.253295 0.657063 0.706354 0 0.0120001 0.187004
0.0340312 0.255036 0.65409 0.70346 0 0.0123312 0.188686
0.0348925 0.25677 0.651119 0.700566 0 0.0126728 0.190391
0.0357756 0.258496 0.648151 0.697673 0 0.0130254 0.192117
